tag,amount
00408951196 ,1.35
00409181239 ,1.35
00408951196 ,1.13
00409181239 ,1.13
00408951196 ,26.74
00409181239 ,3.35
00406214663 ,1.35
00406214663 ,1.13
00406214663 ,0.77
00406214663 ,1.5
00406214663 ,13.08
00409181239 ,1.5
00406214663 ,9.49
00409181239 ,13.08
00409181239 ,9.49
00407041779 ,1.35
00406293975 ,0.53
00407041779 ,0.53
00408951196 ,0.53
00406293975 ,0.91
00407041779 ,0.91
00408951196 ,0.91
00406293975 ,0.88
00407041779 ,0.88
00408951196 ,0.88
00406293975 ,2.6
00407041779 ,2.6
00408951196 ,2.6
00408951196 ,1.35
00406293975 ,3.66
00407041779 ,3.66
00408951196 ,3.66
00408951196 ,1.13
00408951196 ,26.74
00406214663 ,1.35
00406214663 ,1.13
00406214663 ,26.74
00406293975 ,4.04
00408951196 ,4.04
00407041779 ,4.04
00408951196 ,6.0
00408951196 ,6.0
00408951196 ,30.0
00406293975 ,28.5
00406293975 ,4.04
00406214663 ,0.53
00408951196 ,23.39
00409181239 ,0.53
00406214663 ,0.91
00408951196 ,0.53
00409181239 ,0.91
00408951196 ,0.91
00406214663 ,0.88
00409181239 ,0.88
00406214663 ,2.6
00409181239 ,2.6
00408951196 ,0.88
00406214663 ,3.66
00409181239 ,3.66
00408951196 ,2.6
00406293975 ,3.66
00408951196 ,3.66
00406214663 ,4.04
00409181239 ,4.04
00409181239 ,0.0
00406293975 ,9.49
00407041779 ,9.49
00408951196 ,9.49
00406293975 ,13.08
00406293975 ,1.5
00407041779 ,13.08
00407041779 ,1.5
00408951196 ,13.08
00408951196 ,1.5
00406293975 ,25.97
00407041779 ,9.97
00406214663 ,28.5
00407041779 ,28.5
00409181239 ,28.5
00406214663 ,4.04
00407041779 ,4.04
00409181239 ,4.04
00406214663 ,3.66
00406214663 ,2.6
00406214663 ,0.88
00406214663 ,0.91
00406214663 ,0.53
00406214663 ,2.58
00406214663 ,21.44
00407041779 ,3.66
00407041779 ,2.6
00407041779 ,0.88
00407041779 ,0.91
00407041779 ,0.53
00407041779 ,23.39
00409181239 ,3.66
00409181239 ,2.6
00409181239 ,0.88
00409181239 ,0.91
00409181239 ,0.53
00409181239 ,4.53
00409181239 ,21.44
00407041779 ,6.0
00407041779 ,6.0
00407041779 ,4.02
00406214663 ,9.49
00406293975 ,9.49
00408951196 ,30.0
00406214663 ,13.08
00406214663 ,1.5
00409181239 ,9.49
00408951196 ,1.5
00406214663 ,25.97
00409181239 ,13.08
00409181239 ,1.5
00408951196 ,13.08
00408951196 ,9.49
00409181239 ,25.97
00407041779 ,1.35
00408951196 ,1.35
00407041779 ,1.13
00408951196 ,1.13
00407041779 ,26.74
00408951196 ,26.74
00406293975 ,3.66
00406293975 ,2.6
00406293975 ,0.88
00406293975 ,0.91
00406293975 ,0.53
00407041779 ,3.66
00407041779 ,2.6
00407041779 ,0.88
00407041779 ,0.91
00407041779 ,0.53
00408951196 ,3.66
00408951196 ,2.6
00408951196 ,3.66
00408951196 ,0.88
00408951196 ,2.6
00408951196 ,0.88
00408951196 ,0.91
00408951196 ,0.53
00408951196 ,0.91
00408951196 ,0.53
00408951196 ,21.44
00409181239 ,3.66
00409181239 ,2.6
00409181239 ,0.88
00409181239 ,0.91
00409181239 ,0.53
00409181239 ,8.69
00406293975 ,4.04
00409181239 ,1.5
00409181239 ,13.08
00409181239 ,9.49
00407041779 ,1.5
00407041779 ,13.08
00406214663 ,1.5
00407041779 ,9.49
00406214663 ,13.08
00406214663 ,9.49
00409181239 ,28.5
00409181239 ,4.04
00406293975 ,2.6
00406293975 ,2.6
00406293975 ,0.88
00406293975 ,0.88
00406293975 ,0.91
00406293975 ,0.91
00406293975 ,0.53
00406293975 ,0.53
00406293975 ,4.53
00406293975 ,21.44
00407041779 ,21.44
00408951196 ,3.66
00408951196 ,2.6
00408951196 ,0.88
00408951196 ,0.91
00408951196 ,0.53
00408951196 ,1.35
00409181239 ,3.66
00409181239 ,2.6
00409181239 ,0.88
00409181239 ,0.91
00409181239 ,0.53
